 Energy     a,n        S.F.       tot 
 8.8000e+00 0.0000e+00 2.0970e-18 2.0970e-18
 8.9000e+00 0.0000e+00 1.9130e-18 1.9130e-18
 9.0000e+00 0.0000e+00 1.7440e-18 1.7440e-18
 9.1000e+00 0.0000e+00 1.5900e-18 1.5900e-18
 9.2000e+00 0.0000e+00 1.4490e-18 1.4490e-18
 9.3000e+00 0.0000e+00 1.3210e-18 1.3210e-18
 9.4000e+00 0.0000e+00 1.2030e-18 1.2030e-18
 9.6000e+00 0.0000e+00 9.9810e-19 9.9810e-19
 9.7000e+00 0.0000e+00 9.0850e-19 9.0850e-19
 9.8000e+00 0.0000e+00 8.2720e-19 8.2720e-19
