 Energy     a,n        S.F.       tot 
 0.0000e+00 3.2600e-14 2.4640e-16 3.2850e-14
 1.0000e-01 7.2760e-14 4.2990e-16 7.3190e-14
 2.0000e-01 9.5530e-14 5.2820e-16 9.6060e-14
 3.0000e-01 1.1860e-13 5.9210e-16 1.1920e-13
 4.0000e-01 1.3800e-13 6.3450e-16 1.3870e-13
 5.0000e-01 1.5280e-13 6.6150e-16 1.5340e-13
 6.0000e-01 1.5880e-13 6.7700e-16 1.5940e-13
 8.0000e-01 1.5690e-13 6.8290e-16 1.5750e-13
 9.0000e-01 1.5530e-13 6.7670e-16 1.5600e-13
 1.0000e+00 1.5280e-13 6.6580e-16 1.5340e-13
 1.1000e+00 1.4790e-13 6.5140e-16 1.4850e-13
 1.2000e+00 1.4270e-13 6.3420e-16 1.4330e-13
 1.3000e+00 1.3650e-13 6.1470e-16 1.3710e-13
 1.4000e+00 1.3000e-13 5.9360e-16 1.3060e-13
 1.6000e+00 1.1470e-13 5.4820e-16 1.1530e-13
 1.7000e+00 1.0720e-13 5.2460e-16 1.0770e-13
 1.8000e+00 1.0230e-13 5.0070e-16 1.0280e-13
 1.9000e+00 9.5270e-14 4.7690e-16 9.5740e-14
 2.0000e+00 8.8050e-14 4.5330e-16 8.8500e-14
 2.1000e+00 8.1750e-14 4.2990e-16 8.2180e-14
 2.2000e+00 7.7520e-14 4.0710e-16 7.7920e-14
 2.4000e+00 6.7240e-14 3.6320e-16 6.7610e-14
 2.5000e+00 6.1990e-14 3.4230e-16 6.2330e-14
 2.6000e+00 5.6770e-14 3.2220e-16 5.7090e-14
 2.7000e+00 5.3120e-14 3.0280e-16 5.3430e-14
 2.8000e+00 5.0740e-14 2.8430e-16 5.1020e-14
 2.9000e+00 4.7120e-14 2.6660e-16 4.7390e-14
 3.0000e+00 4.2410e-14 2.4970e-16 4.2650e-14
 3.2000e+00 3.4100e-14 2.1840e-16 3.4320e-14
 3.3000e+00 2.9980e-14 2.0400e-16 3.0180e-14
 3.4000e+00 2.6100e-14 1.9030e-16 2.6300e-14
 3.5000e+00 2.3190e-14 1.7740e-16 2.3370e-14
 3.6000e+00 2.0270e-14 1.6530e-16 2.0430e-14
 3.7000e+00 1.7670e-14 1.5380e-16 1.7820e-14
 3.8000e+00 1.5210e-14 1.4300e-16 1.5350e-14
 4.0000e+00 1.0940e-14 1.2350e-16 1.1060e-14
 4.1000e+00 9.5180e-15 1.1460e-16 9.6330e-15
 4.2000e+00 7.9840e-15 1.0630e-16 8.0900e-15
 4.3000e+00 6.9630e-15 9.8490e-17 7.0620e-15
 4.4000e+00 6.1710e-15 9.1240e-17 6.2620e-15
 4.5000e+00 5.4230e-15 8.4460e-17 5.5070e-15
 4.6000e+00 4.8200e-15 7.8150e-17 4.8980e-15
 4.8000e+00 4.1880e-15 6.6790e-17 4.2550e-15
 4.9000e+00 3.8520e-15 6.1700e-17 3.9140e-15
 5.0000e+00 3.5270e-15 5.6960e-17 3.5840e-15
 5.1000e+00 3.2080e-15 5.2570e-17 3.2610e-15
 5.2000e+00 2.9060e-15 4.8490e-17 2.9540e-15
 5.3000e+00 2.6000e-15 4.4710e-17 2.6440e-15
 5.4000e+00 2.3020e-15 4.1200e-17 2.3430e-15
 5.6000e+00 1.8060e-15 3.4950e-17 1.8410e-15
 5.7000e+00 1.6260e-15 3.2170e-17 1.6580e-15
 5.8000e+00 1.4900e-15 2.9600e-17 1.5190e-15
 5.9000e+00 1.3760e-15 2.7220e-17 1.4030e-15
 6.0000e+00 1.2530e-15 2.5020e-17 1.2780e-15
 6.1000e+00 1.1280e-15 2.3000e-17 1.1510e-15
 6.2000e+00 1.0030e-15 2.1130e-17 1.0240e-15
 6.4000e+00 8.0880e-16 1.7810e-17 8.2660e-16
 6.5000e+00 7.5780e-16 1.6340e-17 7.7420e-16
 6.6000e+00 7.0150e-16 1.4990e-17 7.1650e-16
 6.7000e+00 6.4530e-16 1.3750e-17 6.5910e-16
 6.8000e+00 5.9820e-16 1.2610e-17 6.1080e-16
 6.9000e+00 5.4840e-16 1.1560e-17 5.6000e-16
 7.0000e+00 5.0230e-16 1.0590e-17 5.1290e-16
 7.2000e+00 4.0880e-16 8.8820e-18 4.1770e-16
 7.3000e+00 3.6040e-16 8.1310e-18 3.6850e-16
 7.4000e+00 3.1050e-16 7.4420e-18 3.1790e-16
 7.5000e+00 2.6240e-16 6.8090e-18 2.6920e-16
 7.6000e+00 2.2360e-16 6.2290e-18 2.2990e-16
 7.7000e+00 1.8800e-16 5.6960e-18 1.9370e-16
 7.8000e+00 1.5230e-16 5.2070e-18 1.5750e-16
 8.0000e+00 8.0310e-17 4.3490e-18 8.4660e-17
 8.1000e+00 4.7250e-17 3.9740e-18 5.1220e-17
 8.2000e+00 2.1820e-17 3.6290e-18 2.5450e-17
 8.3000e+00 1.1850e-17 3.3140e-18 1.5160e-17
 8.4000e+00 5.4450e-18 3.0260e-18 8.4710e-18
 8.5000e+00 6.1800e-19 2.7620e-18 3.3800e-18
 8.6000e+00 2.0330e-21 2.5200e-18 2.5220e-18
