Energy	   a,n        S.F.       tot
0.0000e+00 3.1000e-13 5.9100e-16 3.1060e-13
1.0000e-01 6.9140e-13 1.0400e-15 6.9250e-13
2.0000e-01 9.2250e-13 1.2850e-15 9.2380e-13
3.0000e-01 1.1580e-12 1.4450e-15 1.1590e-12
4.0000e-01 1.3330e-12 1.5480e-15 1.3350e-12
5.0000e-01 1.4830e-12 1.6110e-15 1.4840e-12
6.0000e-01 1.5560e-12 1.6430e-15 1.5580e-12
8.0000e-01 1.5850e-12 1.6370e-15 1.5860e-12
9.0000e-01 1.6010e-12 1.6080e-15 1.6030e-12
1.0000e+00 1.5820e-12 1.5670e-15 1.5830e-12
1.1000e+00 1.5400e-12 1.5170e-15 1.5420e-12
1.2000e+00 1.5170e-12 1.4590e-15 1.5190e-12
1.3000e+00 1.4930e-12 1.3970e-15 1.4940e-12
1.4000e+00 1.4500e-12 1.3310e-15 1.4510e-12
1.6000e+00 1.3220e-12 1.1940e-15 1.3230e-12
1.7000e+00 1.2270e-12 1.1240e-15 1.2280e-12
1.8000e+00 1.1510e-12 1.0560e-15 1.1530e-12
1.9000e+00 1.0600e-12 9.8900e-16 1.0610e-12
2.0000e+00 9.5850e-13 9.2370e-16 9.5940e-13
2.1000e+00 8.7430e-13 8.6070e-16 8.7510e-13
2.2000e+00 8.1090e-13 8.0020e-16 8.1170e-13
2.4000e+00 6.5750e-13 6.8730e-16 6.5820e-13
2.5000e+00 6.0470e-13 6.3520e-16 6.0530e-13
2.6000e+00 5.6230e-13 5.8600e-16 5.6290e-13
2.7000e+00 5.2840e-13 5.3970e-16 5.2890e-13
2.8000e+00 4.9890e-13 4.9630e-16 4.9940e-13
2.9000e+00 4.6340e-13 4.5570e-16 4.6380e-13
3.0000e+00 4.2820e-13 4.1790e-16 4.2860e-13
3.2000e+00 3.5850e-13 3.5000e-16 3.5890e-13
3.3000e+00 3.2410e-13 3.1970e-16 3.2440e-13
3.4000e+00 2.9190e-13 2.9170e-16 2.9220e-13
3.5000e+00 2.6360e-13 2.6580e-16 2.6390e-13
3.6000e+00 2.3530e-13 2.4200e-16 2.3560e-13
3.7000e+00 2.1070e-13 2.2010e-16 2.1090e-13
3.8000e+00 1.8510e-13 2.0000e-16 1.8530e-13
4.0000e+00 1.4040e-13 1.6470e-16 1.4050e-13
4.1000e+00 1.2410e-13 1.4920e-16 1.2430e-13
4.2000e+00 1.0510e-13 1.3510e-16 1.0530e-13
4.3000e+00 8.9490e-14 1.2220e-16 8.9610e-14
4.4000e+00 7.5870e-14 1.1050e-16 7.5980e-14
4.5000e+00 6.6940e-14 9.9800e-17 6.7040e-14
4.6000e+00 5.9360e-14 9.0080e-17 5.9450e-14
4.8000e+00 4.6710e-14 7.3240e-17 4.6780e-14
4.9000e+00 4.2630e-14 6.5970e-17 4.2690e-14
5.0000e+00 3.8870e-14 5.9380e-17 3.8930e-14
5.1000e+00 3.5040e-14 5.3420e-17 3.5090e-14
5.2000e+00 3.1540e-14 4.8030e-17 3.1590e-14
5.3000e+00 2.9000e-14 4.3160e-17 2.9050e-14
5.4000e+00 2.6460e-14 3.8760e-17 2.6500e-14
5.6000e+00 2.1870e-14 3.1210e-17 2.1900e-14
5.7000e+00 1.9750e-14 2.7980e-17 1.9780e-14
5.8000e+00 1.7650e-14 2.5070e-17 1.7670e-14
5.9000e+00 1.5530e-14 2.2460e-17 1.5550e-14
6.0000e+00 1.3420e-14 2.0100e-17 1.3440e-14
6.1000e+00 1.1900e-14 1.7990e-17 1.1920e-14
6.2000e+00 1.0990e-14 1.6090e-17 1.1010e-14
6.4000e+00 9.2100e-15 1.2850e-17 9.2230e-15
6.5000e+00 8.4850e-15 1.1480e-17 8.4960e-15
6.6000e+00 7.7950e-15 1.0250e-17 7.8050e-15
6.7000e+00 7.1110e-15 9.1470e-18 7.1200e-15
6.8000e+00 6.3840e-15 8.1600e-18 6.3920e-15
6.9000e+00 5.5460e-15 7.2770e-18 5.5540e-15
7.0000e+00 5.1040e-15 6.4860e-18 5.1110e-15
7.2000e+00 4.3920e-15 5.1480e-18 4.3970e-15
7.3000e+00 4.0090e-15 4.5850e-18 4.0140e-15
7.4000e+00 3.6120e-15 4.0800e-18 3.6160e-15
7.5000e+00 3.2040e-15 3.6310e-18 3.2070e-15
7.6000e+00 2.7870e-15 3.2280e-18 2.7910e-15
7.7000e+00 2.3680e-15 2.8720e-18 2.3710e-15
7.8000e+00 1.9460e-15 2.5520e-18 1.9480e-15
8.0000e+00 1.2510e-15 2.0140e-18 1.2530e-15
8.1000e+00 9.6710e-16 1.7890e-18 9.6890e-16
8.2000e+00 7.4120e-16 1.5880e-18 7.4280e-16
8.3000e+00 5.9980e-16 1.4090e-18 6.0120e-16
8.4000e+00 4.6060e-16 1.2510e-18 4.6190e-16
8.5000e+00 3.2320e-16 1.1090e-18 3.2430e-16
8.6000e+00 1.8790e-16 9.8380e-19 1.8890e-16
8.8000e+00 0.0000e+00 7.7190e-19 7.7190e-19
8.9000e+00 0.0000e+00 6.8480e-19 6.8480e-19
9.0000e+00 0.0000e+00 6.0670e-19 6.0670e-19
9.1000e+00 0.0000e+00 5.3700e-19 5.3700e-19
9.2000e+00 0.0000e+00 4.7620e-19 4.7620e-19
9.3000e+00 0.0000e+00 4.2020e-19 4.2020e-19
9.4000e+00 0.0000e+00 3.7310e-19 3.7310e-19
