Energy [keV],A1,A2,A3,A4,A5,A6,A7,A8,A9,A11,A12,A13,A14,A15,A16,A17,A18
129.5,0.24,0.00,0.78,9.11,7.79,18.30,99.99,0.15,0.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
291.3,3.47,0.05,11.39,55.64,45.37,2.77,99.99,1.72,3.67,30.21,3.28,0.34,10.15,8.11,7.19,20.64,0.55
406.7,4.01,0.00,11.28,73.28,46.07,99.99,99.99,1.15,1.85,11.20,5.62,0.45,47.06,7.22,4.95,17.08,99.99
539.4,1.42,0.01,4.16,19.63,11.02,15.15,9.28,0.33,0.78,5.21,1.68,0.13,18.31,3.05,1.40,9.35,0.11
679.3,2.68,0.02,7.84,50.74,41.40,29.85,27.19,1.12,2.56,27.77,4.17,0.56,73.19,9.87,4.41,17.92,0.43
890.1,2.20,0.03,7.88,63.94,90.04,32.20,8.31,1.57,3.47,23.36,13.46,0.77,99.99,14.73,5.63,23.47,0.56
1097.8,9.95,0.05,17.94,45.70,52.14,46.83,18.26,3.35,7.47,47.45,32.35,0.89,99.99,26.37,10.12,18.13,0.95
1303.7,3.91,0.01,11.73,5.50,6.74,29.84,53.61,1.91,3.52,59.17,20.80,1.68,99.99,16.62,7.84,30.60,0.77
2016.3,14.15,0.08,36.47,18.48,21.17,43.33,6.59,7.46,16.73,49.64,99.25,6.36,99.99,52.90,14.31,99.99,1.39
3024.9,99.99,0.26,99.99,86.04,56.56,51.77,9.49,25.49,58.99,68.09,99.99,99.99,99.99,55.97,18.24,99.99,1.18
