Energy [keV],A1,A2,A3,A4,A5,A6,A7,A8,A9,A11,A12,A13,A14,A15,A16,A17,A18
130.3,3.26E-02,8.93E+02,6.34E+00,5.48E-01,1.58E+01,4.24E-04,7.50E+02,3.40E-02,8.20E+00,0.00E+00,0.00E+00,0.00E+00,1.00E+00,1.00E+00,0.00E+00,0.00E+00,0.00E+00
292.2,6.54E-03,1.05E+03,7.15E+00,3.70E-01,2.13E+01,2.38E-04,1.99E+04,7.01E-03,9.94E+00,1.90E-05,2.52E-03,2.90E+02,4.97E+00,2.18E+00,1.89E-03,5.12E-06,1.86E+02
407.7,4.18E-03,1.17E+03,2.22E+00,1.51E+00,9.28E+00,5.02E-04,3.69E+02,5.23E-03,1.03E+01,6.53E-06,1.23E-03,4.06E+02,5.58E+00,9.19E+00,3.02E-03,2.66E-05,2.45E+02
540.5,4.60E-03,1.31E+03,5.33E+00,1.23E+00,1.16E+01,2.59E-04,3.30E+02,5.02E-03,9.82E+00,1.92E-06,8.62E-04,5.51E+02,4.42E+00,1.01E+01,1.72E-03,1.96E-06,3.34E+02
680.5,4.70E-03,1.44E+03,5.69E+00,8.58E-01,1.93E+01,1.98E-04,7.07E+02,5.33E-03,9.48E+00,7.24E-07,7.41E-04,6.87E+02,6.76E+00,1.33E+01,1.82E-03,7.44E-06,4.04E+02
891.6,2.85E-03,1.66E+03,4.09E+00,1.05E+00,2.18E+01,1.33E-04,1.47E+03,3.48E-03,1.13E+01,6.83E-07,3.61E-04,9.05E+02,4.23E+00,1.71E+01,1.19E-03,2.27E-06,5.34E+02
1099.5,2.13E-03,1.87E+03,7.96E+00,1.27E+00,2.61E+01,1.71E-04,4.57E+02,2.47E-03,9.21E+00,7.46E-07,2.78E-04,1.13E+03,1.17E+01,2.09E+01,9.25E-04,2.14E-06,6.47E+02
1305.5,1.84E-03,2.07E+03,1.99E+00,9.69E-01,3.51E+01,1.51E-04,7.33E+02,1.76E-03,9.78E+00,3.04E-07,2.05E-04,1.31E+03,1.44E+01,2.05E+01,6.65E-04,3.50E-07,7.94E+02
2018.8,6.43E-04,2.81E+03,1.41E+01,6.09E-01,1.17E+02,7.33E-05,1.68E+04,7.51E-04,1.09E+01,1.37E-07,7.77E-05,1.96E+03,2.30E+01,3.05E+01,3.05E-04,-5.52E-08,1.32E+03
3028.3,1.50E-04,3.82E+03,1.62E+01,9.30E-01,1.36E+02,5.46E-05,1.54E+04,2.10E-04,2.35E+01,5.77E-08,3.52E-05,3.03E+03,3.59E+02,2.67E+01,2.30E-04,-1.79E-08,2.05E+03
